File,Y,Pred
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0840.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame920.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame380.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame500.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame520.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame590.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0786\GOPR0786-frame300.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame30.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame285.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1038.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame680.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1569.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1237\GOPR1237-frame130.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame830.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1102.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Clean\GOPR0558.JPG,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame320.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame530.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\3\GOPR0878.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1401.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1202\GOPR1202-frame110.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame730.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame895.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame370.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\3\GOPR0751.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1527\GOPR1527-frame250.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame610.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame540.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1610\GOPR1610-frame10.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1300.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame130.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1241.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame710.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame130.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame110.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame5784.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame970.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame450.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Clean\GOPR0582\GOPR0582-frame80.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1202\GOPR1202-frame70.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame260.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame240.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame760.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6295.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame570.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\10\GOPR1509\GOPR1509-frame690.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame450.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame660.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1202\GOPR1202-frame140.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame460.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame140.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame610.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1381.JPG,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame560.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame280.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1690.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame30.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame230.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1660.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame600.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame280.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0858\GOPR0858-frame590.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame460.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1496.JPG,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame465.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame55.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame980.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0961.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7756.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0581\GOPR0581-frame50.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6241.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1257\GOPR1257-frame80.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1607.JPG,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1379.JPG,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame670.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame3663.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0644.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame130.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\11\GOPR1077\GOPR1077-frame760.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\20\GOPR1610\GOPR1610-frame275.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame600.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\2\GOPR0572.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6267.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1536.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Clean\GOPR0582\GOPR0582-frame270.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame875.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\4\GOPR0918\GOPR0918-frame260.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame270.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\10\GOPR1056\GOPR1056-frame160.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame140.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame300.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame0.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame355.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\3\GOPR0586.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame240.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6248.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame260.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame620.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6268.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame230.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\16\GOPR1180\GOPR1180-frame1000.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame295.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\10\GOPR1056\GOPR1056-frame260.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame270.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0786\GOPR0786-frame450.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame750.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame550.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0967.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1532\GOPR1532-frame90.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0950.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1532\GOPR1532-frame120.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1389\GOPR1389-frame330.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame820.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\5\GOPR0946\GOPR0946-frame340.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame430.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame260.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame435.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\13\GOPR1542\GOPR1542-frame280.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame600.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame30.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\A\GOPR1645\GOPR1645-frame5629.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\21\GOPR1619\GOPR1619-frame315.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\14\GOPR1550\GOPR1550-frame50.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame680.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame690.jpg,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0556.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame110.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (80-100)\22\GOPR1324.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1570.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame580.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0639.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\2\GOPR0718.JPG,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame770.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5668.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame300.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame280.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0979\GOPR0979-frame280.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame270.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\19\GOPR1603\GOPR1603-frame430.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Clean\GOPR1643\GOPR1643-frame740.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1237\GOPR1237-frame110.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame260.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\6\GOPR0978\GOPR0978-frame310.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR1025.JPG,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame980.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame1330.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7764.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame10.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0641.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7716.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame60.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame60.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame420.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6214.jpg,Clean,Clean
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\7\GOPR0664.JPG,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame600.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1048.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame180.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\4\GOPR0786\GOPR0786-frame330.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame450.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5724.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\A\GOPR1646\GOPR1646-frame5676.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\2\GOPR1422\GOPR1422-frame790.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame630.jpg,Clean,Clean
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\8\GOPR1484\GOPR1484-frame400.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7703.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame870.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame730.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame490.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\11\GOPR1077\GOPR1077-frame40.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\11\GOPR1077\GOPR1077-frame270.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\10\GOPR1061.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame170.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\9\GOPR1498\GOPR1498-frame100.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1256\GOPR1256-frame150.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\2\GOPR0858\GOPR0858-frame580.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1237\GOPR1237-frame930.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\13\GOPR1111\GOPR1111-frame0.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\1\GOPR1402\GOPR1402-frame280.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1044.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1156.JPG,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame690.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame90.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\7\GOPR1001\GOPR1001-frame30.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\17\GOPR1584\GOPR1584-frame475.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\22\GOPR1628\GOPR1628-frame300.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\14\GOPR1133\GOPR1133-frame660.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame700.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame840.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame750.jpg,Clean,Clean
D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\9\GOPR1031\GOPR1031-frame440.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame590.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame930.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\1\GOPR0684\GOPR0684-frame190.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame250.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (0-20)\8\GOPR1027\GOPR1027-frame480.jpg,Dirty (0-20),Dirty (0-20)
D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\5\GOPR0632\GOPR0632-frame380.jpg,Dirty (40-60),Dirty (40-60)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame160.jpg,Dirty (20-40),Dirty (20-40)
D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\3\GOPR1433\GOPR1433-frame1090.jpg,Dirty (80-100),Dirty (80-100)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\19\GOPR1237\GOPR1237-frame140.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\21\GOPR1281\GOPR1281-frame460.jpg,Dirty (60-80),Dirty (60-80)
D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1645.jpg,Dirty (20-40),Dirty (20-40)
